start_date,end_date,promo_type,location,description
6/18/2025,7/14/2025,Promo Kuliner,Surabaya,"Diskon 20% di Sego Sambel Mak Yeye, dekat CV Thamrin Irawan."
7/4/2025,8/2/2025,Promo Kuliner,Lombok,"Diskon 20% untuk ayam taliwang di restoran dekat PD Winarno Irawan Tbk."
7/1/2025,7/8/2025,Cashback Wisata,Medan,"Cashback Rp150.000 untuk wisata keluarga, dekat restoran soto Medan."
6/27/2025,7/21/2025,Cashback Wisata,Makassar,"Cashback Rp200.000 untuk wisata pulau, dekat PD Suwarno Winarsih Tbk."
7/7/2025,7/16/2025,Promo Kuliner,Malang,"Diskon 15% untuk bakso Malang, dekat UD Adriansyah."
6/25/2025,7/25/2025,Diskon Penerbangan,Cilegon,"Diskon 30% untuk penerbangan domestik ke Cilegon."
7/15/2025,8/7/2025,Diskon Hotel,Cirebon,"Diskon 40% untuk hotel PT Wijaya Tbk, pusat kota."
7/15/2025,7/28/2025,Promo Kuliner,Bengkulu,"Diskon 15% untuk soto Bengkulu, dekat CV Iswahyudi."
6/20/2025,7/9/2025,Diskon Hotel,Padangpanjang,"Diskon 40% untuk hotel PD Mardhiyah, dekat pusat kuliner."
7/16/2025,8/9/2025,Cashback Wisata,Tebingtinggi,"Cashback Rp150.000 untuk wisata lokal, dekat CV Santoso."
7/14/2025,8/10/2025,Promo Kuliner,Banjarmasin,"Diskon 20% untuk soto banjar, dekat PT Hardiansyah."
6/30/2025,7/18/2025,Promo Kuliner,Yogyakarta,"Diskon 20% untuk gudeg, dekat Malioboro."
7/10/2025,7/18/2025,Paket Transportasi,Bali,"Paket bundling transportasi ke Ubud dan Kuta, hemat 25%."
6/21/2025,7/15/2025,Diskon Hotel,Semarang,"Diskon 40% untuk hotel UD Pratama Tbk, dekat pusat kota."
6/29/2025,7/17/2025,Promo Kuliner,Parepare,"Diskon 15% untuk seafood, dekat Perum Kusumo Tbk."
7/7/2025,7/21/2025,Diskon Hotel,Bandar Lampung,"Diskon 40% untuk hotel CV Simanjuntak Tbk."
6/23/2025,7/18/2025,Paket Transportasi,Sawahlunto,"Paket bus ke pusat wisata, hemat 20%, dekat Perum Siregar Pudjiastuti Tbk."
6/26/2025,7/11/2025,Promo Kuliner,Pekanbaru,"Diskon 15% untuk mie sagu, dekat Perum Farida Melani."
6/29/2025,7/7/2025,Paket Transportasi,Pematangsiantar,"Paket bus antarkota, hemat 20%, dekat PD Nababan."
7/9/2025,7/16/2025,Promo Kuliner,Depok,"Diskon 10% untuk nasi goreng kambing, dekat PD Prastuti."
7/16/2025,8/12/2025,Paket Transportasi,Kediri,"Paket transportasi lokal, hemat 20%, dekat UD Widiastuti Puspita Tbk."
7/16/2025,7/25/2025,Diskon Penerbangan,Manado,"Diskon 30% untuk penerbangan domestik ke Manado, via Batik Air."
6/17/2025,7/15/2025,Promo Kuliner,Solok,"Diskon 15% untuk rendang, dekat Perum Namaga Utami Tbk."
6/30/2025,7/7/2025,Diskon Hotel,Banjarbaru,"Diskon 40% untuk hotel PD Lazuardi Tbk."
7/13/2025,8/2/2025,Diskon Hotel,Pontianak,"Diskon 40% untuk hotel CV Permen Tbk, dekat pusat kota."
7/5/2025,7/18/2025,Promo Kuliner,Banda Aceh,"Diskon 20% untuk mie Aceh, dekat PD Pratiwi Tbk."
7/10/2025,7/17/2025,Diskon Hotel,Samarinda,"Diskon 40% untuk hotel PD Zulaika Prabowo Tbk."
6/28/2025,7/21/2025,Diskon Penerbangan,Kota Administrasi Jakarta Pusat,"Diskon 30% untuk penerbangan domestik, dekat PT Sihombing."
6/22/2025,7/17/2025,Diskon Penerbangan,Subulussalam,"Diskon 30% untuk penerbangan domestik ke Subulussalam."
